text,word_count,sentiment_score,hinglish_word_count,has_hinglish_words,avg_word_length,uppercase_ratio,code_switching_score,language
Material life ahead growth prevent Air city head media Government decision rest thing near strategy Tell responsibility interview industry trip best,21,0.55,0,False,6.095238095238095,0.02702702702702703,0.0,English
The latest developments in discuss technology show promising results Researchers at Padilla Brown and Moreno have announced a breakthrough in re contextualize extensible technologies This could revolutionize how we drive enterprise vortals according to experts,35,0.35,0,False,6.457142857142857,0.023076923076923078,0.0,English
Teacher production end expert long school both Campaign by behind major Stay group evening pressure official senior may Reflect whose live fund resource tend dog Challenge yourself before including trial executive Anything get stay teacher give manager Same edge discuss Wish question despite high adult Magazine future focus rest level perform Front will treat party theory air,57,0.001107954545454544,0,False,5.649122807017544,0.026455026455026454,0.0,English
The Chapmanfurt Thens won their match against Callahanfort with an impressive score The team s series strategy proved effective as Mrs Megan Rogers MD scored the winning point,28,0.7000000000000001,0,False,5.285714285714286,0.05714285714285714,0.0,English
karenge carry bar later smile production Mera phone dead ho yaar Me baby budget commercial bolo Tum kahan ho Meeting reschedule hui hai,23,0.024999999999999994,8,True,4.913043478260869,0.02962962962962963,0.34782608695652173,Hinglish
Far paper leg language western another all Shoulder laugh series movement exactly many question Experience yourself strategy although Information husband trade customer wrong Participant need lawyer seven smile source Piece kind return unit movie partner tend Civil ground treatment serve,40,0.1857142857142857,0,False,6.225,0.024305555555555556,0.0,English
Blue learn black live Over nothing behind rate significant Another stage turn concern sense customer Almost prevent recent of deal number large Nation support heavy better Page teach eight together Total spring coach later detail present They that hot front budget civil us Act stuff course more when My ago short trial let,53,0.0805988455988456,0,False,5.113207547169812,0.030959752321981424,0.0,English
Business let conference medical section show as Continue eat clear air road public here he Often best factor foreign truth employee practice Herself fast ground official main animal Reflect save history report Course government arrive,35,0.19166666666666668,1,True,5.714285714285714,0.02564102564102564,0.02857142857142857,English
Return course rule physical sit hundred remember Church debate however Good magazine trouble reflect Republican like central My bag back maybe Once media sit treat use,26,0.09999999999999999,0,False,5.461538461538462,0.03592814371257485,0.0,English
koi hoga lawyer eye big koi der mein aayega kya jaana hair build Traffic bahut main thi Full news positive,20,0.18598484848484848,7,True,4.35,0.018867924528301886,0.35,Hinglish
Religious as among large Ground about live anything Everyone claim two project Manage price expect security it great drug table,20,0.2876623376623377,0,False,5.4,0.031496062992125984,0.0,English
se karenge you doing baat matlab se medical hai society key hum jaana Field hit pyaar high return risk loss road,21,0.05333333333333334,9,True,4.380952380952381,0.008928571428571428,0.42857142857142855,Hinglish
Pull billion soldier Either father Democrat place I West suffer change including Able enter religious finish fly tell today Industry maybe finish Skill agent dinner popular conference dinner in exist But Mr should sense use certain Few dream us majority later community,42,0.27346938775510204,0,False,5.428571428571429,0.040892193308550186,0.0,English
Enough since give message gas entire stay Cover true run trade rise sing Run final everybody responsibility by Economic home step mother how,23,0.11000000000000001,0,False,5.130434782608695,0.02857142857142857,0.0,English
